epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,2085.03,0.54159,0.81637,0.39664,0.93981,0.91733,0.94217,0.96724,0.88195,0.91733,0.94217,0.96726,0.86346,0.30894,0.44407,0.23131,0.9037,0.005347,0.005347,0.005347
96,2106.6,0.54825,0.80777,0.39532,0.94142,0.93664,0.94579,0.97171,0.88737,0.93664,0.94579,0.97152,0.86636,0.31551,0.44639,0.2359,0.90733,0.0052975,0.0052975,0.0052975
97,2128.23,0.53264,0.78849,0.38857,0.93671,0.93741,0.95133,0.97296,0.88616,0.93741,0.95133,0.97296,0.8681,0.31795,0.44904,0.23305,0.90488,0.005248,0.005248,0.005248
98,2149.88,0.54171,0.80978,0.39308,0.93834,0.93533,0.93355,0.97146,0.88846,0.93533,0.93355,0.97146,0.86749,0.31339,0.44812,0.22815,0.90491,0.0051985,0.0051985,0.0051985
99,2171.49,0.53209,0.78811,0.38738,0.93837,0.9302,0.93855,0.97025,0.88936,0.9302,0.93855,0.96747,0.86716,0.31061,0.44697,0.23212,0.90584,0.005149,0.005149,0.005149
100,2193.19,0.5295,0.76851,0.38214,0.93363,0.90947,0.94663,0.96394,0.88251,0.90976,0.9473,0.96073,0.86216,0.30717,0.44744,0.23413,0.9021,0.0050995,0.0050995,0.0050995
101,2214.74,0.52931,0.79342,0.39044,0.93284,0.90746,0.94588,0.96458,0.88311,0.90741,0.94556,0.96286,0.86241,0.30529,0.43442,0.23208,0.89908,0.00505,0.00505,0.00505
102,2236.25,0.52964,0.78268,0.38099,0.93687,0.91324,0.93803,0.96541,0.8838,0.91324,0.93803,0.9627,0.86352,0.30583,0.4352,0.23578,0.89929,0.0050005,0.0050005,0.0050005
103,2257.8,0.53261,0.79324,0.38815,0.93712,0.91133,0.94733,0.96674,0.88785,0.91133,0.94733,0.96492,0.86663,0.30748,0.4332,0.23207,0.90085,0.004951,0.004951,0.004951
104,2279.46,0.52931,0.77039,0.37864,0.93414,0.92002,0.94017,0.96834,0.88837,0.92002,0.94017,0.96715,0.86573,0.30339,0.42171,0.22949,0.89516,0.0049015,0.0049015,0.0049015
105,2301.02,0.52269,0.80101,0.37418,0.93115,0.91304,0.9412,0.96616,0.88673,0.91258,0.94328,0.96557,0.8653,0.30377,0.42481,0.23229,0.89687,0.004852,0.004852,0.004852
106,2322.54,0.52079,0.78468,0.37125,0.93278,0.92401,0.93586,0.96679,0.8893,0.92401,0.93586,0.96675,0.86514,0.30226,0.42127,0.23324,0.89574,0.0048025,0.0048025,0.0048025
107,2344.1,0.52431,0.76507,0.37696,0.93461,0.91774,0.93054,0.96609,0.8892,0.91774,0.93054,0.96393,0.86357,0.30052,0.42541,0.23139,0.8946,0.004753,0.004753,0.004753
108,2365.64,0.5181,0.75881,0.37439,0.92464,0.91906,0.93423,0.965,0.88757,0.91906,0.93423,0.965,0.86418,0.30016,0.42911,0.23262,0.89524,0.0047035,0.0047035,0.0047035
109,2387.32,0.51511,0.74838,0.36502,0.93223,0.90734,0.94343,0.96413,0.88676,0.90734,0.94343,0.96413,0.86164,0.29861,0.43503,0.23027,0.8951,0.004654,0.004654,0.004654
110,2408.88,0.51833,0.77473,0.37247,0.92795,0.89769,0.94671,0.9632,0.88689,0.89769,0.94671,0.96296,0.86243,0.29935,0.43916,0.22973,0.89774,0.0046045,0.0046045,0.0046045
111,2430.43,0.51561,0.78108,0.36357,0.926,0.90527,0.94817,0.96439,0.88663,0.90527,0.94817,0.9641,0.86372,0.29714,0.43093,0.22931,0.899,0.004555,0.004555,0.004555
112,2451.96,0.50969,0.75278,0.36554,0.92692,0.90756,0.9556,0.96486,0.8872,0.90756,0.9556,0.96486,0.86119,0.29593,0.4344,0.22862,0.89831,0.0045055,0.0045055,0.0045055
113,2473.55,0.51142,0.76118,0.36633,0.92342,0.90619,0.95128,0.96495,0.88836,0.90619,0.95128,0.96454,0.86197,0.29508,0.43022,0.23044,0.89806,0.004456,0.004456,0.004456
114,2495.2,0.50958,0.75372,0.36145,0.92372,0.90398,0.94738,0.96358,0.88937,0.90398,0.94738,0.96319,0.8626,0.2931,0.42067,0.22688,0.8953,0.0044065,0.0044065,0.0044065
115,2516.75,0.50215,0.74075,0.35728,0.92372,0.89951,0.95053,0.96364,0.88851,0.89951,0.95053,0.96326,0.86438,0.29163,0.41456,0.22909,0.89291,0.004357,0.004357,0.004357
116,2538.31,0.51488,0.76071,0.36642,0.92666,0.89977,0.94893,0.96285,0.88892,0.89977,0.94893,0.96246,0.86612,0.29212,0.41569,0.22879,0.89368,0.0043075,0.0043075,0.0043075
117,2559.86,0.50261,0.74432,0.35453,0.92365,0.9029,0.95019,0.96371,0.89002,0.9029,0.95019,0.96371,0.8643,0.29289,0.42355,0.22684,0.89471,0.004258,0.004258,0.004258
118,2581.51,0.49925,0.72567,0.35563,0.92222,0.89004,0.95104,0.96356,0.8884,0.89004,0.95104,0.96356,0.8649,0.29267,0.41843,0.22851,0.89516,0.0042085,0.0042085,0.0042085
119,2603.05,0.4944,0.73093,0.35289,0.922,0.89603,0.94809,0.96406,0.88971,0.89603,0.94809,0.96406,0.86401,0.29243,0.42192,0.23077,0.89454,0.004159,0.004159,0.004159
120,2624.62,0.49596,0.73195,0.34894,0.91704,0.89837,0.9496,0.96307,0.88763,0.89837,0.9496,0.96307,0.86444,0.29192,0.42399,0.23126,0.894,0.0041095,0.0041095,0.0041095
121,2646.2,0.5009,0.7323,0.3483,0.92006,0.88624,0.95666,0.96215,0.88829,0.88624,0.95666,0.96215,0.86463,0.29134,0.43102,0.23151,0.895,0.00406,0.00406,0.00406
122,2667.73,0.49036,0.71968,0.34743,0.91561,0.88824,0.95975,0.96275,0.88929,0.88824,0.95975,0.96275,0.865,0.2914,0.43205,0.23332,0.89645,0.0040105,0.0040105,0.0040105
123,2689.37,0.4903,0.69906,0.3428,0.92456,0.89043,0.96029,0.96407,0.89186,0.89043,0.96029,0.96407,0.86681,0.29104,0.43348,0.23495,0.89548,0.003961,0.003961,0.003961
124,2711,0.48462,0.71681,0.33448,0.91655,0.89201,0.95847,0.96413,0.89147,0.89201,0.95847,0.96413,0.86638,0.2899,0.43869,0.23173,0.89505,0.0039115,0.0039115,0.0039115
125,2732.56,0.4842,0.70763,0.3429,0.91838,0.89276,0.95847,0.96412,0.89088,0.89276,0.95847,0.96412,0.86502,0.28755,0.43666,0.22973,0.89323,0.003862,0.003862,0.003862
126,2754.11,0.47006,0.68316,0.32816,0.91044,0.89247,0.95847,0.96526,0.89193,0.89247,0.95847,0.96526,0.8672,0.28665,0.43609,0.22769,0.89296,0.0038125,0.0038125,0.0038125
